,val_loss/val_mse,loss/mse
stock_id=93,"[0.16540449857711792, 0.13822057843208313]","[0.15838059782981873, 0.13119667768478394]"
stock_id=94,"[0.15512493252754211, 0.13273367285728455]","[0.1897033005952835, 0.16731205582618713]"
stock_id=95,"[0.18698325753211975, 0.16012249886989594]","[0.19198228418827057, 0.16512149572372437]"
stock_id=96,"[0.1750582605600357, 0.15072759985923767]","[0.1605239361524582, 0.13619326055049896]"
stock_id=97,"[0.32184258103370667, 0.2999776303768158]","[0.27978911995887756, 0.2579241693019867]"
stock_id=98,"[0.2418108731508255, 0.2136070281267166]","[0.236532524228096, 0.20832867920398712]"
stock_id=99,"[0.14422640204429626, 0.11683249473571777]","[0.18906143307685852, 0.16166749596595764]"
stock_id=101,"[0.20439782738685608, 0.18002140522003174]","[0.19446976482868195, 0.1700933575630188]"
stock_id=102,"[0.16734233498573303, 0.14230561256408691]","[0.18640956282615662, 0.1613728255033493]"
stock_id=104,"[0.16335421800613403, 0.13694033026695251]","[0.14412984251976013, 0.117715984582901]"
stock_id=105,"[0.1552494466304779, 0.1295015811920166]","[0.14840024709701538, 0.12265237420797348]"
stock_id=107,"[0.1691058874130249, 0.15314975380897522]","[0.22759658098220825, 0.21164043247699738]"
stock_id=108,"[0.19149887561798096, 0.1668127477169037]","[0.1665583997964859, 0.14187228679656982]"
stock_id=109,"[0.13885360956192017, 0.10988757014274597]","[0.1650713086128235, 0.1361052542924881]"
stock_id=110,"[0.32889723777770996, 0.2960839867591858]","[0.2898205518722534, 0.25700730085372925]"
stock_id=111,"[0.1765776425600052, 0.14648401737213135]","[0.28150805830955505, 0.25141441822052]"
stock_id=112,"[0.22212623059749603, 0.1914215087890625]","[0.21926818788051605, 0.18856346607208252]"
stock_id=113,"[0.18942685425281525, 0.16265836358070374]","[0.1698710322380066, 0.14310254156589508]"
stock_id=114,"[0.1524866670370102, 0.12542425096035004]","[0.14484640955924988, 0.11778398603200912]"
stock_id=115,"[0.2644771635532379, 0.23001685738563538]","[0.2555325925350189, 0.2210722714662552]"
stock_id=116,"[0.20026236772537231, 0.17465592920780182]","[0.2129102498292923, 0.1873038113117218]"
stock_id=118,"[0.20996904373168945, 0.17583702504634857]","[0.23541457951068878, 0.2012825459241867]"
stock_id=119,"[0.10921571403741837, 0.07933226972818375]","[0.1321406364440918, 0.10225717723369598]"
stock_id=120,"[0.16507455706596375, 0.13877597451210022]","[0.16986626386642456, 0.14356766641139984]"
stock_id=122,"[0.17619097232818604, 0.1477636843919754]","[0.18071427941322327, 0.15228699147701263]"
stock_id=123,"[0.1597593128681183, 0.1339103877544403]","[0.13614696264266968, 0.1102980300784111]"
stock_id=124,"[0.16610899567604065, 0.14126312732696533]","[0.18731124699115753, 0.1624653935432434]"
stock_id=125,"[0.16512902081012726, 0.13579674065113068]","[0.160724937915802, 0.13139265775680542]"
stock_id=126,"[0.2802719473838806, 0.26419296860694885]","[0.27457132935523987, 0.2584923207759857]"
